Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9
+Accent Paving,0,0,0,0,0,0,0,0,0,0
-Accent Paving,1,1,1,1,1,1,1,1,1,1
+Barrier Post,0,0,0,0,0,0,0,0,0,0
-Barrier Post,1,1,1,1,1,1,1,1,1,1
+Barrier Stump,0,0,0,0,0,0,0,0,0,0
-Barrier Stump,1,1,1,1,1,1,1,1,1,1
+Bench,0,0,0,0,0,0,0,0,0,0
-Bench,1,1,1,1,1,1,1,1,1,1
+Bicycle,0,0,0,0,0,0,0,0,0,0
-Bicycle,1,1,1,1,1,1,1,1,1,1
+Bridge,0,0,0,0,0,0,0,0,0,0
-Bridge,1,1,1,1,1,1,1,1,1,1
+Building,1,1,1,1,1,1,1,1,1,1
-Building,0,0,0,0,0,0,0,0,0,0
+Bus,1,1,1,1,1,1,1,1,1,1
-Bus,0,0,0,0,0,0,0,0,0,0
+Bus Stop,0,0,0,0,0,0,0,0,0,0
-Bus Stop,1,1,1,1,1,1,1,1,1,1
+Car,1,1,1,1,1,1,1,1,1,1
-Car,0,0,0,0,0,0,0,0,0,0
+Chair,0,0,0,0,0,0,0,0,0,0
-Chair,1,1,1,1,1,1,1,1,1,1
+Closed Sidewalk,0,0,0,0,0,0,0,0,0,0
-Closed Sidewalk,1,1,1,1,1,1,1,1,1,1
+Counter,0,0,0,0,0,0,0,0,0,0
-Counter,1,1,1,1,1,1,1,1,1,1
+Crosswalk,0,0,0,0,0,0,0,0,0,0
-Crosswalk,1,1,1,1,1,1,1,1,1,1
+Curb,0,0,0,0,0,0,0,0,0,0
-Curb,1,1,1,1,1,1,1,1,1,1
+Dog,0,0,0,0,0,0,0,0,0,0
-Dog,1,1,1,1,1,1,1,1,1,1
+Driveway(flat),0,0,0,0,0,0,0,0,0,0
-Driveway(flat),1,1,1,1,1,1,1,1,1,1
+Elevator,0,0,0,0,0,0,0,0,0,0
-Elevator,1,1,1,1,1,1,1,1,1,1
+Escalator,0,0,0,0,0,0,0,0,0,0
-Escalator,1,1,1,1,1,1,1,1,1,1
+Fence,1,0,1,1,1,1,1,1,1,0
-Fence,0,1,0,0,0,0,0,0,0,1
+Fire hydrant,0,0,0,0,0,0,0,0,0,0
-Fire hydrant,1,1,1,1,1,1,1,1,1,1
+Flush Door,0,0,0,0,0,0,0,0,0,0
-Flush Door,1,1,1,1,1,1,1,1,1,1
+Foldout Sign,0,0,0,0,0,0,0,0,0,0
-Foldout Sign,1,1,1,1,1,1,1,1,1,1
+Fountain,0,0,0,0,0,0,0,0,0,0
-Fountain,1,1,1,1,1,1,1,1,1,1
+Gate,0,0,0,0,0,0,0,0,0,0
-Gate,1,1,1,1,1,1,1,1,1,1
+Guide dog,0,0,0,0,0,0,0,0,0,0
-Guide dog,1,1,1,1,1,1,1,1,1,1
+Gutter,0,0,0,0,0,0,0,0,0,0
-Gutter,1,1,1,1,1,1,1,1,1,1
+Hose,0,0,0,0,0,0,0,0,0,0
-Hose,1,1,1,1,1,1,1,1,1,1
+Lamp Post,0,0,0,0,0,0,0,0,0,0
-Lamp Post,1,1,1,1,1,1,1,1,1,1
+Mail box,0,0,0,0,0,0,0,0,0,0
-Mail box,1,1,1,1,1,1,1,1,1,1
+Maintenance Vehicle,0,0,0,0,0,0,0,0,0,0
-Maintenance Vehicle,1,1,1,1,1,1,1,1,1,1
+Motorcycle,1,1,1,1,1,1,1,1,1,1
-Motorcycle,0,0,0,0,0,0,0,0,0,0
+Parallel Parking Spot,0,0,0,0,0,0,0,0,0,0
-Parallel Parking Spot,1,1,1,1,1,1,1,1,1,1
+Paratransit vehicle,0,0,0,0,0,0,0,0,0,0
-Paratransit vehicle,1,1,1,1,1,1,1,1,1,1
+Pedestrian Crossing,0,0,0,0,0,0,0,0,0,0
-Pedestrian Crossing,1,1,1,1,1,1,1,1,1,1
+Person,1,1,1,1,1,1,1,1,1,1
-Person,0,0,0,0,0,0,0,0,0,0
+Person with a disability,0,0,0,0,0,0,0,0,0,0
-Person with a disability,1,1,1,1,1,1,1,1,1,1
+Pillar,0,0,0,0,0,0,0,0,0,0
-Pillar,1,1,1,1,1,1,1,1,1,1
+Pole,0,0,0,0,0,0,0,0,0,0
-Pole,1,1,1,1,1,1,1,1,1,1
+Puddle,0,0,0,0,0,0,0,0,0,0
-Puddle,1,1,1,1,1,1,1,1,1,1
+Push button,0,0,0,0,0,0,0,0,0,0
-Push button,1,1,1,1,1,1,1,1,1,1
+Railing,0,0,0,0,0,0,0,0,0,0
-Railing,1,1,1,1,1,1,1,1,1,1
+Raised Entryway,0,0,0,0,0,0,0,0,0,0
-Raised Entryway,1,1,1,1,1,1,1,1,1,1
+Retaining Wall,0,0,0,0,0,0,0,0,0,0
-Retaining Wall,1,1,1,1,1,1,1,1,1,1
+Road,1,1,1,1,1,1,1,1,1,1
-Road,0,0,0,0,0,0,0,0,0,0
+Road Divider,0,0,0,0,0,0,0,0,0,0
-Road Divider,1,1,1,1,1,1,1,1,1,1
+Road Shoulder,0,0,0,0,0,0,0,0,0,0
-Road Shoulder,1,1,1,1,1,1,1,1,1,1
+Roadside Parking,0,0,0,0,0,0,0,0,0,0
-Roadside Parking,1,1,1,1,1,1,1,1,1,1
+Sidewalk,1,1,1,1,1,1,1,1,1,1
-Sidewalk,0,0,0,0,0,0,0,0,0,0
+Sidewalk pits,0,0,0,0,0,0,0,0,0,0
-Sidewalk pits,1,1,1,1,1,1,1,1,1,1
+Sign,0,0,0,0,0,0,0,0,0,0
-Sign,1,1,1,1,1,1,1,1,1,1
+Sign Post,0,0,0,0,0,0,0,0,0,0
-Sign Post,1,1,1,1,1,1,1,1,1,1
+Sloped Driveway,0,0,0,0,0,0,0,0,0,0
-Sloped Driveway,1,1,1,1,1,1,1,1,1,1
+Slopped Curb,0,0,0,0,0,0,0,0,0,0
-Slopped Curb,1,1,1,1,1,1,1,1,1,1
+Snow,0,0,0,0,0,0,0,0,0,0
-Snow,1,1,1,1,1,1,1,1,1,1
+Stairs,0,0,0,0,0,0,0,0,0,0
-Stairs,1,1,1,1,1,1,1,1,1,1
+Stop sign,0,0,0,0,0,0,0,0,0,0
-Stop sign,1,1,1,1,1,1,1,1,1,1
+Street Vendor,0,0,0,0,0,0,0,0,0,0
-Street Vendor,1,1,1,1,1,1,1,1,1,1
+Table,0,0,0,0,0,0,0,0,0,0
-Table,1,1,1,1,1,1,1,1,1,1
+Tactile Paving,0,0,0,0,0,0,0,0,0,0
-Tactile Paving,1,1,1,1,1,1,1,1,1,1
+Traffic Signals,1,1,1,1,1,1,1,1,1,1
-Traffic Signals,0,0,0,0,0,0,0,0,0,0
+Train Platform,0,0,0,0,0,0,0,0,0,0
-Train Platform,1,1,1,1,1,1,1,1,1,1
+Train Tracks,0,0,0,0,0,0,0,0,0,0
-Train Tracks,1,1,1,1,1,1,1,1,1,1
+Trash bins,1,1,1,1,1,1,1,1,1,1
-Trash bins,0,0,0,0,0,0,0,0,0,0
+Trash on roads,1,1,1,1,1,1,1,1,1,1
-Trash on roads,0,0,0,0,0,0,0,0,0,0
+Tree,1,1,1,1,1,1,1,1,1,1
-Tree,0,0,0,0,0,0,0,0,0,0
+Turnstile,0,0,0,0,0,0,0,0,0,0
-Turnstile,1,1,1,1,1,1,1,1,1,1
+Uncontrolled Crossing,0,0,0,0,0,0,0,0,0,0
-Uncontrolled Crossing,1,1,1,1,1,1,1,1,1,1
+Uneven Stairs,0,0,0,0,0,0,0,0,0,0
-Uneven Stairs,1,1,1,1,1,1,1,1,1,1
+Unpaved Road,0,0,0,0,0,0,0,0,0,0
-Unpaved Road,1,1,1,1,1,1,1,1,1,1
+Unpaved Sidewalk,0,0,0,0,0,0,0,0,0,0
-Unpaved Sidewalk,1,1,1,1,1,1,1,1,1,1
+Vegetation,1,1,1,1,1,1,1,1,1,0
-Vegetation,0,0,0,0,0,0,0,0,0,1
+Wall,0,0,0,0,0,0,0,0,0,0
-Wall,1,1,1,1,1,1,1,1,1,1
+Water leakage,0,0,0,0,0,0,0,0,0,0
-Water leakage,1,1,1,1,1,1,1,1,1,1
+Water Pipes,0,0,0,0,0,0,0,0,0,0
-Water Pipes,1,1,1,1,1,1,1,1,1,1
+Wet surface,0,0,0,0,0,0,0,0,0,0
