Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14
+Accent Paving,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1
-Accent Paving,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0
+Barrier Post,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1
-Barrier Post,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
+Barrier Stump,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
-Barrier Stump,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
+Bench,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
-Bench,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
+Bicycle,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0
-Bicycle,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
+Bridge,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
-Bridge,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
+Building,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0
-Building,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
+Bus,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0
-Bus,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1
+Bus Stop,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
-Bus Stop,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
+Car,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0
-Car,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1
+Chair,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0
-Chair,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1
+Closed Sidewalk,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
-Closed Sidewalk,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1
+Counter,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
-Counter,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
+Crosswalk,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0
-Crosswalk,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1
+Curb,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0
